store_Id,user_id,name,vicinity,Features
2128,1275,"MY SWEET TOOTH, LLC","Paul Avenue, West Haven","bar,restaurant,food,point_of_interest,establishment"
2046,1193,"Dr. Dolores Vojvoda, MD","950 Campbell Avenue, West Haven","bar,restaurant,food,point_of_interest,establishment"
1642,1441,Fine Diane Lynn MD,"950 Campbell Avenue, West Haven","bar,night_club,restaurant,point_of_interest,food,establishment"
2080,1389,"Dr. Richard E. Kravitz, MD","950 Campbell Avenue, West Haven","bar,restaurant,food,point_of_interest,establishment"
1687,1185,"Dr. Hitender Jain, MD","950 Campbell Avenue, West Haven","bar,restaurant,food,point_of_interest,establishment"
212,1011,Brewer Judson A MD,"950 Campbell Avenue, West Haven","bar,restaurant,food,point_of_interest,establishment"
2251,1021,"Dr. Roberto J. Groszmann, MD","950 Campbell Avenue, West Haven","bar,restaurant,food,point_of_interest,establishment"
1296,1231,VA Medical Center-West Haven: Smith Brian R MD,"950 Campbell Avenue, West Haven","bar,cafe,restaurant,store,food,point_of_interest"
1966,1058,"Dr. Linda S. Godleski, MD","950 Campbell Avenue, West Haven","bar,point_of_interest,establishment"
1214,1467,"Dr. Marisa J. Lomanto, MD","950 Campbell Avenue, West Haven","bar,restaurant,point_of_interest,food,establishment"
273,1252,"Dr. Ann M. Rasmusson, MD","950 Campbell Avenue, West Haven","bar,restaurant,food,point_of_interest,establishment"
902,1463,Va Medical Center-West Haven: Tormey Christopher MD,"950 Campbell Avenue, West Haven","bar,restaurant,point_of_interest,food,establishment"
1946,1119,"Dr. Mona Zain, MD","950 Campbell Avenue, West Haven","bar,night_club,restaurant,point_of_interest,food,establishment"
257,1110,Notre Dame High School,"1 Notre Dame Way, West Haven","bar,point_of_interest,establishment"
1108,1441,"Dr. Bachaar Arnaout, MD","950 Campbell Avenue, West Haven","bar,restaurant,point_of_interest,food,establishment"
1722,1426,"Dr. Michelle M. Carino, MD","950 Campbell Avenue, West Haven","bar,restaurant,food,point_of_interest,establishment"
653,1353,West Haven,West Haven,"bar,restaurant,food,point_of_interest,establishment"
2025,1335,Homer Robert J MD,"950 Campbell Avenue, West Haven","bar,restaurant,food,point_of_interest,establishment"
886,1403,"Dr. Kenneth L. Cohen, MD","950 Campbell Avenue, West Haven","bar,restaurant,point_of_interest,food,establishment"
819,1103,VA Medical Center-West Haven: Taylor Caroline MD,"950 Campbell Avenue, West Haven","bar,restaurant,point_of_interest,food,establishment"
675,1063,"Dr. Lindsay Schine, MD","950 Campbell Avenue, West Haven","bar,restaurant,point_of_interest,food,establishment"
306,1265,VA Medical Center-West Haven: Irizarry Eliud MD,"950 Campbell Avenue, West Haven","bar,restaurant,point_of_interest,food,establishment"
1017,1433,"Dr. Brian J. Malm, MD","950 Campbell Avenue, West Haven","bar,restaurant,food,point_of_interest,establishment"
1891,1335,VA Medical Center-West Haven: Rochester Carolyn L MD,"950 Campbell Avenue, West Haven","bar,restaurant,food,point_of_interest,establishment"
1862,1248,"Dr. Susan T. Crowley, MD","950 Campbell Avenue, West Haven","bar,restaurant,food,point_of_interest,establishment"
1822,1281,"Dr. Steven E. Pfau, MD","950 Campbell Avenue, West Haven","bar,night_club,restaurant,point_of_interest,food,establishment"
437,1048,"Dr. Kim-Thu C. Pham, MD","950 Campbell Avenue, West Haven","bar,restaurant,food,point_of_interest,establishment"
1579,1410,"Dr. Shuba Rodrigues, MD","950 Campbell Avenue, West Haven","bar,restaurant,food,point_of_interest,establishment"
1079,1303,Walker Charles N MD,"950 Campbell Avenue, West Haven","bar,restaurant,food,point_of_interest,establishment"
1670,1431,Nathanson Michael H MD,"950 Campbell Avenue, West Haven","bar,night_club,restaurant,point_of_interest,food,establishment"
547,1123,VA Medical Center-West Haven: Wong Thomas MD,"950 Campbell Avenue, West Haven","bar,restaurant,food,point_of_interest,establishment"
227,1031,"Dr. Hilary C. Cain, MD","950 Campbell Avenue, West Haven","bar,restaurant,point_of_interest,food,establishment"
1956,1394,"Dr. Daniel H. Mathalon, MD","950 Campbell Avenue, West Haven","bar,restaurant,point_of_interest,food,establishment"
2279,1325,Innis Robert MD,"950 Campbell Avenue, West Haven","bar,restaurant,food,point_of_interest,establishment"
46,1464,Chang John J MD,"950 Campbell Avenue, West Haven","bar,restaurant,point_of_interest,food,establishment"
1582,1246,"Dr. Larisa L. Davydova, MD","950 Campbell Avenue, West Haven","bar,restaurant,point_of_interest,food,establishment"
887,1400,"Dr. Melissa F. Perkal, MD","950 Campbell Avenue, West Haven","bar,restaurant,point_of_interest,food,establishment"
1651,1107,Landman Adam B MD,"950 Campbell Avenue, West Haven","bar,restaurant,point_of_interest,food,establishment"
417,1472,Rosen Marc I MD,"950 Campbell Avenue, West Haven","bar,night_club,restaurant,food,point_of_interest,establishment"
1718,1458,Blumberg Hilary P MD,"950 Campbell Avenue, West Haven","bar,restaurant,food,point_of_interest,establishment"
651,1385,Reilly Hugh F MD,"950 Campbell Avenue, West Haven","bar,restaurant,food,point_of_interest,establishment"
1757,1131,"Dr. Michael J. Sernyak Jr, MD","950 Campbell Avenue, West Haven","bar,restaurant,food,point_of_interest,establishment"
939,1118,"Dr. Sherif I. Assaad, MD","950 Campbell Avenue, West Haven","bar,restaurant,food,point_of_interest,establishment"
624,1065,Nash Esther R MD,"950 Campbell Avenue, West Haven","bar,night_club,restaurant,food,point_of_interest,establishment"
123,1478,"Dr. James M. Solomon, MD","950 Campbell Avenue, West Haven","bar,restaurant,lodging,food,point_of_interest,establishment"
584,1349,"Dr. John P. Concato, MD","950 Campbell Avenue, West Haven","bar,restaurant,food,point_of_interest,establishment"
1521,1303,Fried Terri R MD,"950 Campbell Avenue, West Haven","bar,restaurant,food,point_of_interest,establishment"
113,1495,"John J. Sellinger, PHD","950 Campbell Avenue, West Haven","bar,restaurant,food,point_of_interest,establishment"
199,1102,Samuel Varman T MD,"950 Campbell Avenue, West Haven","bar,restaurant,point_of_interest,food,establishment"
2119,1260,Fernandez Antonio B MD,"950 Campbell Avenue, West Haven","beauty_salon,health,spa,point_of_interest,establishment"
1748,1281,Labadia Gail MD,"950 Campbell Avenue, West Haven","beauty_salon,hair_care,point_of_interest,establishment"
1191,1083,Aziz Hammad MD,"950 Campbell Avenue, West Haven","beauty_salon,spa,health,point_of_interest,establishment"
154,1021,Curtis Jeptha P MD,"950 Campbell Avenue, West Haven","beauty_salon,spa,hair_care,point_of_interest,establishment"
265,1027,Acampora Gregory MD,"950 Campbell Avenue, West Haven","beauty_salon,hair_care,spa,point_of_interest,establishment"
